Date,Open,High,Low,Close,Volume,Adj Close
2013/5/29,55.37,55.5,54.93,55.35,1160000,50.68
2013/5/30,55.9,56.24,55.84,56.1,1066400,51.37
2013/5/31,55.42,55.74,54.86,54.86,1760300,50.23
2013/6/3,55.35,55.75,55.08,55.7,2144000,51
2013/6/4,55.86,56.18,55.59,55.77,1537900,51.07
2013/6/5,55.27,55.35,54.76,54.81,1235700,50.19
2013/6/6,54.49,54.8,54.2,54.8,1486200,50.18
2013/6/7,54.43,55.1,54.22,54.97,1006900,50.34
2013/6/10,54.66,54.71,54.37,54.56,1164100,49.96
2013/6/11,53.6,54.23,53.41,53.92,1678100,49.37
2013/6/12,54.78,54.86,53.88,53.94,1537500,49.39
2013/6/13,53.93,54.6,53.75,54.52,1186500,49.92
2013/6/14,53.33,53.7,53.1,53.31,1502000,48.82
2013/6/17,53.78,54.19,53.44,53.79,1162400,49.25
2013/6/18,54.64,54.84,54.39,54.53,920100,49.93
2013/6/19,54.09,54.36,53.24,53.29,1568300,48.8
2013/6/20,52.03,52.11,51.34,51.41,2470300,47.08
2013/6/21,51.67,51.73,50.83,51.38,1811600,47.05
2013/6/24,50.49,50.99,50.38,50.68,2998700,46.41
2013/6/25,52.03,52.16,51.38,52.04,1414000,47.65
2013/6/26,52.32,52.37,51.97,52.18,1100900,47.78
2013/6/27,52.04,52.42,51.91,52.18,1076900,47.78
2013/6/28,51.92,52.35,51.77,51.9,877300,47.52
2013/7/1,52.82,53.27,52.61,52.75,941100,48.3
2013/7/2,52.39,52.9,52.28,52.58,883000,48.15
2013/7/3,51.74,52.36,51.68,52.2,609400,47.8
2013/7/5,53.59,53.67,53.01,53.63,1270700,49.11
2013/7/8,53.78,54,53.48,53.68,840900,49.15
2013/7/9,53.82,54.12,53.5,54.08,771500,49.52
2013/7/10,53.97,54.44,53.78,54.06,874100,49.5
2013/7/11,54.9,55.18,54.47,55.05,894900,50.41
2013/7/12,54.77,54.93,54.59,54.87,705900,50.24
2013/7/15,55.16,55.39,54.98,55.26,518200,50.6
2013/7/16,55.27,55.28,54.94,55.11,627300,50.46
2013/7/17,55.75,55.96,55.58,55.65,1524500,50.96
2013/7/18,56.32,56.68,56.27,56.41,1100100,51.65
2013/7/19,56.09,56.41,55.78,56.37,1066500,51.62
2013/7/22,56.33,56.61,56.3,56.52,808400,51.75
2013/7/23,56.71,56.9,56.25,56.44,886300,51.68
2013/7/24,56.72,56.73,56.09,56.3,674100,51.55
2013/7/25,56.13,56.73,56.05,56.72,608500,51.94
2013/7/26,56.39,56.75,56.08,56.64,660800,51.86
2013/7/29,56.03,56.21,55.69,56.1,709800,51.37
2013/7/30,56.32,56.43,55.91,56.25,672200,51.51
2013/7/31,56.82,57.11,56.61,56.75,1100200,51.97
2013/8/1,57.14,57.34,56.91,57.3,773200,52.47
2013/8/2,57.58,57.97,57.35,57.97,1112800,53.08
2013/8/5,55.03,55.73,54.84,55.37,2599700,50.7
2013/8/6,55.37,55.46,54.74,55.05,882800,50.41
2013/8/7,54.7,54.77,54.17,54.23,861300,49.66
2013/8/8,54.51,54.68,54.09,54.55,982300,49.95
2013/8/9,55.16,55.41,55.03,55.25,760100,50.59
2013/8/12,55.1,55.32,54.93,55.09,854700,50.45
2013/8/13,55.15,55.7,54.89,55.6,1149400,50.91
2013/8/14,55.84,55.95,55.65,55.79,523000,51.09
2013/8/15,55.25,55.67,54.94,55.5,970200,50.82
2013/8/16,55.27,55.49,55.16,55.35,696100,50.68
2013/8/19,55.06,55.23,54.8,54.84,692700,50.22
2013/8/20,54.92,55.38,54.67,55.24,862300,50.58
2013/8/21,53.95,54.05,53.37,53.49,1115300,49.43
2013/8/22,54.08,54.34,53.88,54.1,3267700,49.99
2013/8/23,54.42,54.56,54.13,54.44,826700,50.31
2013/8/26,54.27,54.48,54.16,54.23,526500,50.11
2013/8/27,53.19,53.54,52.95,53.07,1068000,49.04
2013/8/28,52.51,53.18,52.49,53.08,2674800,49.05
2013/8/29,53.24,53.58,53.16,53.26,986500,49.22
2013/8/30,52.95,53,52.11,52.42,1410300,48.44
